age,employment_type,monthly_income,monthly_expenses,existing_loans,own_contribution,property_value,dependents,target
8888.0,permanent,87333.33333333333,26199.999999999996,0,1210000.0,1305000.0,0,1
8888.0,permanent,44000.0,13200.0,0,880000.0,935000.0,0,1
8888.0,permanent,22333.333333333332,6699.999999999999,0,60000.0,225000.0,0,0
8888.0,permanent,47000.0,14100.0,0,970000.0,1135000.0,0,1
8888.0,permanent,170666.66666666666,51199.99999999999,0,0.0,405000.0,0,0
8888.0,permanent,19666.666666666668,5900.0,0,50000.0,195000.0,0,1
8888.0,permanent,158333.33333333334,47500.0,0,60000.0,265000.0,0,1
8888.0,permanent,164333.33333333334,49300.0,0,90000.0,455000.0,0,1
8888.0,permanent,168333.33333333334,50500.0,0,120000.0,545000.0,0,1
8888.0,permanent,164000.0,49200.0,0,80000.0,405000.0,0,1
8888.0,permanent,154333.33333333334,46300.0,0,30000.0,165000.0,0,1
8888.0,permanent,153333.33333333334,46000.0,0,30000.0,145000.0,0,1
8888.0,permanent,158666.66666666666,47599.99999999999,0,60000.0,325000.0,0,1
8888.0,permanent,154666.66666666666,46399.99999999999,0,50000.0,225000.0,0,1
8888.0,permanent,153666.66666666666,46099.99999999999,0,30000.0,175000.0,0,1
8888.0,permanent,154666.66666666666,46399.99999999999,0,30000.0,165000.0,0,1
8888.0,permanent,157666.66666666666,47299.99999999999,0,60000.0,265000.0,0,1
8888.0,permanent,153666.66666666666,46099.99999999999,0,30000.0,175000.0,0,1
8888.0,permanent,158000.0,47400.0,0,60000.0,265000.0,0,1
8888.0,permanent,153333.33333333334,46000.0,0,40000.0,185000.0,0,1
8888.0,permanent,154000.0,46200.0,0,30000.0,175000.0,0,1
8888.0,permanent,157666.66666666666,47299.99999999999,0,60000.0,265000.0,0,1
8888.0,permanent,154666.66666666666,46399.99999999999,0,40000.0,205000.0,0,1
8888.0,permanent,69666.66666666667,20900.0,0,20000.0,125000.0,0,1
8888.0,permanent,153333.33333333334,46000.0,0,30000.0,165000.0,0,1
8888.0,permanent,152666.66666666666,45799.99999999999,0,30000.0,155000.0,0,1
8888.0,permanent,162333.33333333334,48700.0,0,80000.0,355000.0,0,1
8888.0,permanent,164666.66666666666,49399.99999999999,0,100000.0,465000.0,0,1
8888.0,permanent,153666.66666666666,46099.99999999999,0,30000.0,155000.0,0,1
8888.0,permanent,23666.666666666668,7100.0,0,30000.0,135000.0,0,1
8888.0,permanent,87333.33333333333,26199.999999999996,0,40000.0,205000.0,0,1
8888.0,permanent,153666.66666666666,46099.99999999999,0,30000.0,155000.0,0,1
8888.0,permanent,153000.0,45900.0,0,40000.0,195000.0,0,1
8888.0,permanent,162333.33333333334,48700.0,0,80000.0,375000.0,0,1
8888.0,permanent,163333.33333333334,49000.0,0,90000.0,445000.0,0,1
8888.0,permanent,161666.66666666666,48499.99999999999,0,40000.0,165000.0,0,1
